;series_name;episode_number;season_number;air_date;origin_country;channel;episode_url;duration
0;Arthdal Chronicles;8;2;01-10-2023;Corée du Sud;tvN;episode08-411009-01102023-saison2-Arthdal-Chronicles.html;None
1;Behind Your Touch;16;1;01-10-2023;Etats-Unis;Netflix;episode16-408686-01102023-saison1-Behind-Your-Touch.html;None
2;Bob's Burgers;1;14;01-10-2023;Etats-Unis;Fox;episode01-408094-01102023-saison14-Bob-s-Burgers.html;None
3;Entre Tierras;4;1;01-10-2023;Espagne;ATRESplayer;episode04-410970-01102023-saison1-Entre-Tierras.html;None
4;Family Guy;1;22;01-10-2023;Etats-Unis;Fox;episode01-408096-01102023-saison22-Family-Guy.html;None
5;Heartland (CA);1;17;01-10-2023;Canada;CBC;episode01-410271-01102023-saison17-Heartland-(CA).html;None
6;Krapopolis;3;1;01-10-2023;Etats-Unis;Fox;episode03-408093-01102023-saison1-Krapopolis.html;None
7;Last Week Tonight With John Oliver;11;10;01-10-2023;Etats-Unis;HBO;episode11-410868-01102023-saison10-Last-Week-Tonight-With-John-Oliver.html;None
8;Les Mystères de l'amour;8;33;01-10-2023;France;TMC;episode08-410185-01102023-saison33-Les-Mysteres-de-l-amour.html;None
9;SkyMed;1;2;01-10-2023;Canada;CBC Gem;episode01-410144-01102023-saison2-SkyMed.html;None
10;The Simpsons;1;35;01-10-2023;Etats-Unis;Fox;episode01-408095-01102023-saison35-The-Simpsons.html;None
11;The Villains of Valley View;15;2;01-10-2023;Etats-Unis;Disney Channel;episode15-410803-01102023-saison2-The-Villains-of-Valley-View.html;None
12;The Walking Dead: Daryl Dixon;4;1;01-10-2023;Etats-Unis;AMC;episode04-409847-01102023-saison1-The-Walking-Dead-Daryl-Dixon.html;None
13;When Calls the Heart;10;10;01-10-2023;Etats-Unis;Hallmark Channel;episode10-407539-01102023-saison10-When-Calls-the-Heart.html;None
14;5è Rang;4;6;02-10-2023;Canada;Radio Canada;episode04-410913-02102023-saison6-5e-Rang.html;None
15;66-5;5;1;02-10-2023;France;Canal+;episode05-410553-02102023-saison1-66-5.html;None
16;66-5;6;1;02-10-2023;France;Canal+;episode06-410554-02102023-saison1-66-5.html;None
17;Alertes;16;3;02-10-2023;Canada;TVA;episode16-410912-02102023-saison3-Alertes.html;None
18;American Dad!;14;19;02-10-2023;Etats-Unis;TBS (US);episode14-410594-02102023-saison19-American-Dad.html;None
19;Demain nous appartient;31;7;02-10-2023;France;TF1;episode31-410920-02102023-saison7-Demain-nous-appartient.html;None
20;Familie Bundschuh;8;1;02-10-2023;Allemagne;ZDF;episode08-409953-02102023-saison1-Familie-Bundschuh.html;None
21;Ici tout commence;26;4;02-10-2023;France;TF1;episode26-410915-02102023-saison4-Ici-tout-commence.html;None
22;Infiltré(e);3;1;02-10-2023;France;France 2;episode03-410718-02102023-saison1-Infiltre(e).html;None
23;Infiltré(e);4;1;02-10-2023;France;France 2;episode04-410719-02102023-saison1-Infiltre(e).html;None
24;Kamikaze (NOR);3;1;02-10-2023;Suède;Discovery +;episode03-410738-02102023-saison1-Kamikaze-(NOR).html;None
25;Murdoch Mysteries;1;17;02-10-2023;Canada;Citytv;episode01-410145-02102023-saison17-Murdoch-Mysteries.html;None
26;Narvalo;3;3;02-10-2023;France;Canal+;episode03-410627-02102023-saison3-Narvalo.html;None
27;Narvalo;4;3;02-10-2023;France;Canal+;episode04-410628-02102023-saison3-Narvalo.html;None
28;Pure Boxer;13;1;02-10-2023;Corée du Sud;KBS2;episode13-409147-02102023-saison1-Pure-Boxer.html;None
29;SOKO Potsdam;2;6;02-10-2023;Allemagne;ZDF;episode02-410907-02102023-saison6-SOKO-Potsdam.html;None
30;The Irrational;2;1;02-10-2023;Etats-Unis;NBC;episode02-409167-02102023-saison1-The-Irrational.html;None
31;The Long Shadow;2;1;02-10-2023;Royaume-Uni;ITVX;episode02-410620-02102023-saison1-The-Long-Shadow.html;None
32;The Long Shadow;3;1;02-10-2023;Royaume-Uni;ITVX;episode03-410816-02102023-saison1-The-Long-Shadow.html;None
33;The Long Shadow;4;1;02-10-2023;Royaume-Uni;ITVX;episode04-410897-02102023-saison1-The-Long-Shadow.html;None
34;The Long Shadow;5;1;02-10-2023;Royaume-Uni;ITVX;episode05-410898-02102023-saison1-The-Long-Shadow.html;None
35;The Long Shadow;6;1;02-10-2023;Royaume-Uni;ITVX;episode06-410899-02102023-saison1-The-Long-Shadow.html;None
36;The Long Shadow;7;1;02-10-2023;Royaume-Uni;ITVX;episode07-410900-02102023-saison1-The-Long-Shadow.html;None
37;Un Si Grand Soleil;23;6;02-10-2023;France;France 2;episode23-410925-02102023-saison6-Un-Si-Grand-Soleil.html;None
38;Ví?az;5;1;02-10-2023;Etats-Unis;Showtime;episode05-410696-02102023-saison1-Viaz.html;None
39;Ahsoka;8;1;03-10-2023;Etats-Unis;Disney+;episode08-406770-03102023-saison1-Ahsoka.html;None
40;Alexandra Ehle;1;4;03-10-2023;France;France 3;episode01-410257-03102023-saison4-Alexandra-Ehle.html;None
41;À coeur battant;4;2;03-10-2023;Canada;Radio Canada;episode04-410929-03102023-saison2-A-coeur-battant.html;None
